Rank    |    Roll        |        Preference Order
60	    |    	15	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
61	    |    	14	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
62	    |    	13	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
63	    |    	12	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
64	    |    	11	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
65	    |    	10	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
66	    |    	9	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
67	    |    	8	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
68	    |    	7	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
69	    |    	6	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
70	    |    	5	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
71	    |    	4	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
72	    |    	3	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
73	    |    	2	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
74	    |    	1	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
75	    |    	0	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
76	    |    	76	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
77	    |    	77	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
78	    |    	78	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
79	    |    	79	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
80	    |    	80	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
81	    |    	81	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
82	    |    	82	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
83	    |    	83	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
84	    |    	84	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
85	    |    	85	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
86	    |    	86	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
87	    |    	87	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
88	    |    	88	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
89	    |    	89	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
90	    |    	90	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
91	    |    	91	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
92	    |    	92	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
93	    |    	93	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
94	    |    	94	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
95	    |    	95	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
96	    |    	96	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
97	    |    	97	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
98	    |    	98	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
99	    |    	99	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
